Age,Gender,Occupation,Annual_Income,District,City,Pincode,Policy_Type,Premium_Amount,Coverage_Amount,Vehicle_Type,Vehicle_Brand,Vehicle_Model,Vehicle_Year,Vehicle_Value,Days_to_Report,Accident_Time,Road_Type,Weather,Police_Report,FIR_Number,Witness_Count,Hospital_Name,Garage_Name,Repair_Cost,Medical_Cost,Total_Claim_Amount,Previous_Claims,Previous_Fraud_History,Investigator_Assigned,Fraud_Label,Policy_Start_Year,Policy_Start_Month,Accident_Year,Accident_Month,Claim_Year,Claim_Month
56,1,8,2242127,9,9,632001,2,6115,1504797,1,4,5,2022,2422937,1,0,2,3,1,2749,1,1,1,74476,43774,118250,4,0,0,0,2025,6,2025,11,2025,11
71,0,6,1771035,5,5,636001,2,7560,2782032,0,3,0,2024,830843,1,2,3,0,1,2336,2,3,2,135953,99181,235134,2,0,0,0,2025,4,2025,5,2025,5
65,1,3,1945222,2,2,624001,2,21636,619133,1,3,8,2024,922984,5,2,1,2,1,3652,1,0,2,233778,15301,249079,1,0,1,0,2025,1,2025,10,2025,10
30,1,3,1033843,4,4,625001,2,25283,2358588,0,3,0,2016,1575265,2,1,2,1,1,3121,3,2,3,132662,84801,217463,1,0,0,0,2025,7,2026,1,2026,1
30,1,5,941129,5,5,636001,3,25502,1580248,2,0,14,2013,668551,4,2,1,2,1,2424,2,0,0,81035,40606,121641,4,0,1,0,2025,12,2026,9,2026,9
52,0,0,383510,1,1,641001,2,11218,2623914,1,4,4,2016,1440912,6,1,3,4,1,788,3,1,0,182789,60090,242879,1,0,0,0,2025,4,2025,6,2025,6
53,0,7,1513984,3,3,638001,2,39719,2401325,0,4,6,2013,1268220,3,1,1,3,1,2751,3,1,0,76873,20041,96914,5,0,0,0,2025,10,2026,1,2026,1
51,0,6,2155581,8,8,641601,0,26444,2657958,1,1,11,2019,867088,4,1,0,2,1,3371,1,2,4,80854,35501,116355,4,0,0,0,2025,12,2026,10,2026,10
49,1,2,568987,1,1,641001,3,10034,712681,0,1,13,2024,1150424,2,3,1,0,1,3585,2,0,3,94494,54654,149148,1,0,0,0,2025,7,2026,2,2026,2
73,0,8,2433291,2,2,624001,3,8189,2230262,2,3,8,2013,979707,1,3,3,2,1,1305,2,1,2,173909,64655,238564,2,0,1,0,2025,4,2025,10,2025,10
43,1,8,321384,2,2,624001,1,14429,1048565,1,4,5,2016,392334,1,1,3,2,1,3730,1,2,1,175812,99879,275691,0,0,1,0,2025,5,2025,11,2025,11
72,1,8,800090,6,6,613001,0,28184,1555174,1,1,9,2020,2083030,5,2,0,0,1,2112,2,3,4,25390,29953,55343,0,0,1,0,2025,4,2025,8,2025,8
32,1,0,187354,5,5,636001,1,17280,1228066,2,0,12,2023,1622417,2,3,0,4,1,1083,3,3,1,95233,55789,151022,0,0,0,0,2025,11,2026,5,2026,5
32,1,4,2439573,9,9,632001,1,19069,2388056,2,4,4,2013,732542,4,0,0,2,1,3072,3,2,0,236819,37330,274149,1,1,1,0,2025,3,2025,11,2025,11
33,0,3,1750291,6,6,613001,1,21808,2778551,2,1,13,2012,763473,4,1,1,2,1,1545,3,2,1,172347,48578,220925,4,0,1,0,2025,5,2025,9,2025,9
70,0,0,580824,2,2,624001,1,31525,566910,0,2,10,2023,1863145,2,2,2,0,1,907,0,0,1,10258,16590,26848,2,0,1,1,2025,11,2026,4,2026,4
50,1,0,1392819,2,2,624001,2,8730,1853492,2,4,5,2018,1670486,0,1,0,3,0,4079,2,0,0,233112,57787,290899,0,0,1,1,2025,11,2026,3,2026,3
20,1,4,1344724,9,9,632001,1,29939,2241751,1,4,6,2021,392856,12,3,1,4,1,768,1,0,4,48259,33341,81600,3,1,1,0,2025,2,2025,5,2025,5
22,1,6,838899,0,0,600001,1,32134,302967,0,3,0,2012,1588535,3,3,2,4,1,2026,1,2,2,226630,46198,272828,1,0,1,0,2025,3,2025,12,2025,12
37,0,4,1420015,7,7,620001,1,11223,355227,2,2,1,2014,669954,8,1,1,1,1,2629,3,2,3,131565,83505,215070,2,0,0,0,2025,11,2026,9,2026,10
34,1,1,1203505,0,0,600001,1,3657,1244539,2,2,10,2017,1204574,1,1,0,2,1,2149,1,1,1,91355,5508,96863,1,1,0,0,2025,2,2025,11,2025,11
23,1,4,897244,9,9,632001,0,3043,2203198,2,2,1,2017,2460845,5,1,1,4,1,685,0,1,0,118006,74434,192440,1,0,1,1,2025,8,2025,10,2025,10
46,0,8,2053394,7,7,620001,0,14126,1078152,1,3,7,2018,1642217,1,0,2,2,1,1808,3,1,0,139937,75294,215231,0,0,1,0,2025,6,2026,5,2026,5
42,1,5,393416,0,0,600001,0,31400,474974,0,2,2,2025,1003486,8,2,1,3,1,1507,3,3,2,136439,6619,143058,1,0,1,0,2025,1,2025,6,2025,6
26,1,7,1236336,8,8,641601,0,20423,2056121,1,1,11,2023,919814,4,0,3,4,1,1679,0,2,0,97500,79385,176885,3,0,1,1,2025,12,2026,7,2026,7
64,1,3,300681,6,6,613001,3,11070,1940643,0,2,1,2012,1679926,12,2,2,3,0,4079,1,0,0,10407,53086,63493,3,0,0,0,2025,2,2025,3,2025,4
65,1,4,1859306,3,3,638001,2,33498,1932690,2,2,1,2025,2346755,4,2,0,3,1,460,0,2,4,170200,51051,221251,4,0,0,1,2025,3,2025,3,2025,3
40,0,3,2365152,3,3,638001,3,23665,576241,1,0,12,2024,1107886,12,2,1,2,0,4079,0,2,1,31660,63436,95096,3,0,1,1,2025,5,2025,9,2025,9
40,0,6,1273867,1,1,641001,0,4083,306018,1,0,14,2016,1437868,3,1,1,4,1,3953,1,2,4,67072,98627,165699,5,0,1,0,2025,7,2025,9,2025,9
51,1,8,226150,8,8,641601,2,11910,547023,1,4,5,2025,1664426,2,0,0,4,0,4079,2,3,4,205533,5092,210625,0,0,1,1,2025,7,2025,9,2025,9
41,1,8,1081556,2,2,624001,3,23739,2914424,2,1,9,2020,925309,2,1,0,1,0,4079,0,3,4,97950,43304,141254,5,0,0,1,2025,1,2025,9,2025,9
50,0,2,621011,7,7,620001,3,22838,1678732,2,3,7,2021,590137,3,1,2,0,1,3213,2,2,3,161107,31422,192529,1,0,1,0,2025,8,2026,2,2026,2
71,1,7,1278024,8,8,641601,2,19184,1673950,1,4,6,2018,1299797,10,0,0,0,0,4079,0,1,3,137143,35675,172818,3,0,1,1,2025,3,2025,4,2025,4
18,1,3,1214294,1,1,641001,2,20765,563146,1,1,11,2020,1084767,6,1,0,0,1,844,3,0,2,64308,53912,118220,3,1,0,0,2025,4,2026,2,2026,2
46,0,4,2388991,3,3,638001,0,9076,1264156,2,1,9,2023,2283616,4,3,1,3,0,4079,0,2,3,161614,5639,167253,1,0,0,1,2025,8,2025,10,2025,10
34,0,7,544690,3,3,638001,1,10019,2473548,2,3,7,2013,1067196,11,0,3,3,0,4079,0,0,3,96760,9754,106514,4,0,0,1,2025,5,2026,3,2026,3
56,1,7,860985,0,0,600001,1,29002,1424586,2,4,6,2022,2393505,0,3,2,2,1,908,3,0,4,95218,73951,169169,5,0,1,0,2025,9,2025,10,2025,10
68,0,8,1774113,6,6,613001,2,26943,2699344,1,4,4,2018,1187255,8,0,2,2,1,1445,0,2,3,166166,68589,234755,5,0,1,1,2025,3,2025,10,2025,10
59,0,5,830397,4,4,625001,3,6755,1003497,1,1,11,2021,677542,0,2,0,0,1,246,1,3,1,78717,2855,81572,0,0,1,0,2025,8,2026,3,2026,3
21,1,6,295585,8,8,641601,2,24334,2751981,1,0,12,2024,1433448,5,2,0,1,1,29,2,1,4,169688,92971,262659,3,0,0,0,2025,8,2026,3,2026,3
64,1,7,883706,8,8,641601,1,11116,2782433,2,3,8,2014,1930091,6,1,3,4,1,1114,1,0,4,117920,93153,211073,1,0,0,0,2025,1,2025,6,2025,6
20,0,2,2214395,0,0,600001,0,17074,1694415,2,1,13,2025,761108,10,2,0,1,1,432,2,3,1,193162,90921,284083,4,0,0,0,2025,4,2025,5,2025,5
29,0,7,785121,5,5,636001,1,21981,1991408,2,2,10,2012,1303519,1,0,0,0,1,1891,3,0,2,235427,99277,334704,1,0,0,0,2025,3,2025,5,2025,5
63,0,1,865261,5,5,636001,1,23845,690657,1,2,2,2018,1002491,7,0,2,2,1,1970,0,3,2,173979,91509,265488,3,0,1,1,2025,12,2026,6,2026,6
23,0,0,547711,9,9,632001,3,16820,2253361,2,3,7,2015,2379606,7,2,3,4,0,4079,0,1,1,107904,48824,156728,3,0,0,1,2025,1,2025,3,2025,3
21,1,8,2284072,3,3,638001,1,14073,2311193,0,0,14,2013,480467,4,3,0,0,1,1008,0,1,2,42301,29755,72056,0,0,1,1,2025,2,2025,12,2025,12
38,1,3,1675351,1,1,641001,3,26557,2718572,2,3,0,2019,780493,4,3,0,3,1,621,3,3,0,143764,72674,216438,4,0,1,0,2025,8,2026,4,2026,4
29,1,0,2425051,5,5,636001,3,6202,778944,1,2,10,2024,434114,8,0,0,2,1,1133,3,3,4,124265,97984,222249,3,0,0,0,2025,7,2026,5,2026,5
71,1,5,2387382,7,7,620001,3,13135,2653155,1,3,0,2021,941453,9,2,3,3,1,631,1,3,2,127965,86944,214909,2,0,1,0,2025,10,2025,11,2025,11
22,1,3,351991,8,8,641601,2,35966,2014855,0,0,3,2022,1613283,11,3,0,4,1,1488,1,2,2,38262,93844,132106,0,0,1,0,2025,5,2025,11,2025,11
67,1,0,1150550,1,1,641001,3,22022,2083447,0,4,4,2014,1902259,7,3,0,3,1,1710,2,0,4,92662,58616,151278,3,0,1,0,2025,4,2025,5,2025,6
22,0,7,2159077,2,2,624001,2,35680,521445,1,2,2,2012,574144,4,1,3,0,1,2915,2,0,4,112681,59532,172213,3,0,1,0,2025,4,2025,6,2025,6
33,1,3,1471345,9,9,632001,3,13364,1695998,0,3,8,2014,1018371,10,1,1,2,1,1138,0,3,0,54888,46242,101130,2,0,0,1,2025,4,2025,7,2025,8
60,1,2,2367295,3,3,638001,3,14442,317834,0,4,4,2020,950688,8,1,1,2,0,4079,1,3,0,189209,5398,194607,5,0,0,1,2025,11,2026,10,2026,11
43,1,5,1299759,4,4,625001,2,22750,1633274,2,1,13,2021,1734993,11,1,1,1,1,1145,3,2,3,231987,68325,300312,1,0,1,0,2025,5,2025,9,2025,9
65,1,4,344927,4,4,625001,2,11167,2006436,2,3,8,2014,1467596,10,2,2,1,1,1286,0,2,3,151415,68494,219909,4,0,0,1,2025,8,2025,11,2025,12
53,1,1,1078725,8,8,641601,0,29006,1548257,1,2,1,2021,2216471,5,3,3,1,1,1130,3,0,4,51189,16199,67388,3,0,1,0,2025,3,2025,12,2025,12
36,0,4,530795,3,3,638001,2,7768,2266434,0,0,3,2024,1150387,2,3,2,0,0,4079,2,2,4,57289,89179,146468,3,0,1,0,2025,2,2025,3,2025,4
38,1,1,846255,7,7,620001,2,15244,417930,1,1,11,2021,2172491,0,3,1,4,1,345,1,3,4,149108,52862,201970,1,0,0,0,2025,9,2026,4,2026,4
71,0,4,847870,7,7,620001,0,6264,2670749,0,4,6,2018,1477979,11,2,0,3,1,2438,2,3,0,21710,96524,118234,4,0,1,0,2025,10,2026,1,2026,1
32,1,5,1854907,6,6,613001,3,13721,2776044,0,2,1,2019,2466178,12,3,3,3,1,2070,3,3,4,61303,99489,160792,1,0,1,0,2025,2,2025,12,2026,1
60,1,6,2339634,7,7,620001,3,23669,757188,2,1,11,2015,2345823,9,2,2,4,0,4079,3,0,3,41640,28720,70360,3,1,0,0,2025,8,2026,1,2026,1
24,1,0,1412599,6,6,613001,1,19976,619759,1,1,9,2020,361126,3,2,0,0,1,3479,1,2,0,48595,28546,77141,2,0,0,0,2025,7,2026,2,2026,2
63,1,5,1459975,0,0,600001,2,13070,520877,0,0,3,2019,1988690,4,3,0,3,1,2190,0,2,4,65897,10811,76708,1,1,1,1,2025,3,2025,7,2025,7
51,1,3,2141506,3,3,638001,2,38468,2917174,1,2,1,2022,2285164,8,3,1,4,1,587,0,0,3,103674,75691,179365,4,0,0,1,2025,10,2026,6,2026,6
32,0,1,2100975,5,5,636001,2,31003,1841167,2,3,8,2021,962360,2,3,1,2,1,1336,1,2,2,11877,59717,71594,1,0,1,0,2025,4,2025,11,2025,11
39,1,1,198431,5,5,636001,3,13398,1971202,0,4,6,2014,1443627,7,1,0,3,0,4079,2,3,0,73394,28760,102154,1,0,0,0,2025,12,2026,2,2026,2
59,1,8,1157411,4,4,625001,3,26608,1246146,0,0,14,2012,2176772,2,1,1,3,0,4079,2,0,4,236446,95646,332092,5,0,0,1,2025,9,2025,10,2025,10
26,0,8,436987,0,0,600001,2,12472,1956324,0,4,6,2023,1025801,9,3,0,3,1,3328,0,3,4,121182,98811,219993,0,0,0,1,2025,12,2026,10,2026,10
49,0,8,1709620,2,2,624001,3,36753,1649292,2,3,8,2019,498493,11,1,0,2,1,376,1,3,0,74799,45041,119840,1,0,1,0,2025,12,2026,10,2026,10
51,0,5,468923,3,3,638001,0,3128,2273312,1,1,9,2016,2203334,10,0,3,4,1,482,3,0,3,175656,44665,220321,1,0,0,0,2025,6,2026,1,2026,2
40,0,4,1816910,2,2,624001,1,27713,2192345,1,2,1,2021,1761422,8,2,2,2,0,4079,0,3,0,142458,95608,238066,5,0,0,1,2025,9,2026,8,2026,8
69,0,3,1810513,3,3,638001,2,31940,1287672,2,4,6,2019,716675,11,0,1,4,1,1266,3,3,4,128552,1753,130305,3,0,0,0,2025,3,2025,5,2025,6
45,0,5,1180905,0,0,600001,2,38479,1242638,0,4,4,2013,2393699,5,0,0,3,1,778,2,0,3,157783,99069,256852,5,0,0,0,2025,10,2026,3,2026,4
37,0,8,435878,8,8,641601,1,20533,1561580,1,1,11,2023,972526,0,1,3,3,1,2243,2,2,1,178716,71543,250259,3,0,0,0,2025,7,2025,10,2025,10
22,0,0,896740,5,5,636001,1,16452,1750510,2,0,12,2021,1429952,10,1,0,1,0,4079,2,2,3,244028,94776,338804,1,0,0,1,2025,8,2026,7,2026,7
64,0,0,852103,0,0,600001,2,7826,2511836,1,4,4,2016,1029518,4,1,2,2,1,1261,3,0,0,141514,42322,183836,2,0,1,0,2025,7,2025,12,2026,1
20,0,8,1571319,9,9,632001,2,22262,1210112,0,2,2,2019,1722836,10,3,0,3,1,585,1,1,2,162724,81208,243932,5,0,1,0,2025,3,2025,11,2025,12
20,1,4,1579377,0,0,600001,0,21107,1023647,0,2,2,2012,828743,4,2,1,3,1,2910,0,0,3,63114,4596,67710,1,1,1,1,2025,2,2026,1,2026,1
19,0,8,359859,1,1,641001,0,33274,753830,0,1,9,2012,1510795,5,3,0,1,1,19,3,3,1,21364,38854,60218,5,0,0,0,2025,5,2026,2,2026,2
45,1,1,2115521,4,4,625001,1,9826,1114436,1,0,12,2015,966581,6,3,1,0,1,63,0,0,3,71221,47107,118328,5,0,1,1,2025,11,2026,9,2026,10
42,1,0,2369846,3,3,638001,1,37130,1338640,0,0,12,2021,968960,11,0,2,4,1,3244,3,0,1,166706,48301,215007,1,0,1,0,2025,6,2026,5,2026,6
60,0,4,902677,5,5,636001,3,34455,665851,0,4,6,2022,1749942,2,3,0,0,0,4079,0,1,0,243687,1071,244758,2,0,0,1,2025,1,2025,12,2025,12
54,0,6,2498119,8,8,641601,1,5164,2059525,0,3,8,2018,1491557,4,2,2,4,1,2464,3,1,4,48978,92247,141225,1,0,0,0,2025,11,2025,12,2025,12
38,1,4,1848379,8,8,641601,2,14078,1954123,1,4,4,2020,766126,7,0,2,4,1,1858,1,1,2,120896,16412,137308,5,0,1,0,2025,2,2025,4,2025,4
51,1,5,1975754,4,4,625001,0,33808,2777895,0,1,11,2022,1445244,0,2,3,1,1,1267,0,2,0,208070,28395,236465,3,0,0,1,2025,4,2025,9,2025,9
73,1,3,2089189,6,6,613001,1,38645,2865972,2,0,14,2023,1579832,9,2,3,0,1,2713,3,1,2,36814,70002,106816,1,1,0,0,2025,4,2026,2,2026,2
58,0,7,1099000,1,1,641001,1,27402,829140,0,2,2,2024,1619947,1,1,3,0,1,2089,1,2,1,124572,98350,222922,1,0,0,0,2025,12,2026,2,2026,2
45,1,2,714757,8,8,641601,1,16689,323926,1,1,13,2015,453226,9,3,3,0,1,296,2,0,2,241969,18709,260678,1,0,0,0,2025,7,2025,10,2025,10
40,0,8,1429996,8,8,641601,2,20760,2915675,0,2,10,2025,1302323,8,3,0,2,1,849,2,2,2,155096,44414,199510,5,0,0,0,2025,4,2025,7,2025,8
41,0,5,2225146,8,8,641601,3,20361,2244926,1,3,0,2025,1436650,2,3,2,4,1,3305,3,2,4,129527,3573,133100,5,0,1,0,2025,11,2026,9,2026,9
46,1,4,1625057,1,1,641001,1,36328,2962359,0,1,11,2015,585359,9,1,0,4,1,3270,1,1,2,11554,82932,94486,0,0,0,0,2025,9,2025,11,2025,11
30,0,4,533499,1,1,641001,2,6072,1390501,0,2,1,2021,1634605,5,0,2,4,0,4079,3,1,2,124605,7594,132199,2,0,1,0,2025,10,2026,2,2026,2
59,1,0,2048005,5,5,636001,1,13496,2672392,1,4,6,2024,2024167,5,1,1,0,0,4079,0,2,4,53640,17330,70970,3,0,0,1,2025,11,2026,1,2026,1
22,1,3,1873675,3,3,638001,2,8690,2844667,0,3,8,2014,483737,8,0,2,4,0,4079,0,0,0,32958,66158,99116,3,0,0,1,2025,5,2026,3,2026,3
53,1,8,600603,8,8,641601,1,4532,784078,0,0,3,2020,1525189,9,0,0,1,1,1613,0,2,2,147154,78188,225342,3,0,1,1,2025,6,2026,4,2026,4
21,1,1,1275091,1,1,641001,0,16860,2732549,1,0,12,2014,862889,10,3,0,2,1,3436,3,3,2,60723,81057,141780,0,0,1,0,2025,8,2026,1,2026,1
44,1,8,1893172,6,6,613001,2,5512,348038,1,1,11,2020,2358431,2,2,2,4,1,3460,2,2,2,48317,85337,133654,5,1,1,1,2025,6,2026,2,2026,2
64,1,7,894410,6,6,613001,2,4307,1372988,2,0,14,2012,1114614,3,0,1,1,1,2486,3,1,2,9825,6773,16598,1,0,1,0,2025,9,2026,1,2026,1
32,1,7,2455424,3,3,638001,3,33971,2043828,1,3,7,2020,747201,7,0,0,2,1,3858,0,3,2,151550,37864,189414,4,0,0,1,2025,6,2025,11,2025,11
59,0,2,640102,6,6,613001,0,22302,503203,0,3,8,2015,353827,9,3,0,0,1,2546,3,0,2,29963,82348,112311,0,0,1,0,2025,8,2025,10,2025,10
59,0,4,1464978,3,3,638001,0,21129,1565632,2,4,6,2018,772043,8,0,2,1,1,1329,0,0,2,28671,79331,108002,4,1,0,1,2025,11,2026,2,2026,2
26,0,7,894313,0,0,600001,1,19078,1427873,0,3,8,2018,2063831,4,2,2,4,1,2873,0,3,1,146808,4822,151630,3,0,0,1,2025,11,2026,3,2026,3
41,0,0,1865098,0,0,600001,3,31734,2378577,2,3,7,2015,1232303,2,2,3,1,1,2434,3,3,0,171256,14316,185572,4,0,1,0,2025,6,2025,11,2025,11
55,1,2,2234345,1,1,641001,3,38557,2230684,1,4,4,2020,1000314,7,3,3,4,1,990,2,1,1,203712,8805,212517,2,0,0,0,2025,4,2025,5,2025,5
39,1,2,1720322,3,3,638001,0,35164,541616,1,1,13,2015,2164694,4,2,1,0,1,2753,1,2,0,241456,62197,303653,5,1,0,1,2025,8,2025,10,2025,11
39,0,2,1265946,0,0,600001,1,20579,2502799,2,4,5,2025,1378497,6,3,2,0,1,1909,0,2,4,32788,69897,102685,2,0,0,1,2025,5,2025,12,2025,12
51,1,8,2363610,9,9,632001,1,32218,1757437,0,3,0,2014,708280,1,2,2,2,0,4079,3,2,2,212874,39437,252311,0,0,1,1,2025,7,2026,5,2026,5
22,1,7,1609733,8,8,641601,3,17974,413178,1,3,8,2012,1691260,12,2,1,4,1,880,1,3,0,100264,79786,180050,1,0,1,0,2025,3,2026,1,2026,2
57,0,8,1302429,2,2,624001,3,30267,2278015,0,3,8,2019,1276546,0,0,0,2,1,3471,0,2,2,49661,47846,97507,1,0,1,1,2025,6,2025,12,2025,12
37,1,0,2105396,6,6,613001,1,23532,1007222,0,4,4,2020,1095789,1,3,2,0,1,2997,0,1,1,26802,24297,51099,0,0,1,1,2025,5,2026,4,2026,4
35,1,3,376627,6,6,613001,1,11552,1884576,1,4,5,2016,2080720,2,0,3,1,1,3900,3,2,1,93062,14848,107910,3,0,1,0,2025,12,2026,5,2026,5
65,0,8,2180055,8,8,641601,1,27016,2508811,0,3,7,2021,1055837,9,3,2,4,0,4079,3,0,0,55354,59990,115344,4,0,1,0,2025,1,2025,3,2025,3
55,1,6,1481659,9,9,632001,3,7484,1490716,1,1,13,2013,1941715,7,3,0,1,1,1730,2,3,4,111857,4771,116628,2,0,0,0,2025,4,2026,2,2026,3
58,1,3,718950,8,8,641601,1,25420,1942315,2,4,5,2016,903124,5,2,0,2,1,3353,3,0,1,90918,47396,138314,3,1,0,0,2025,8,2026,2,2026,2
23,1,1,1767288,3,3,638001,3,39267,2605587,1,3,8,2017,1752536,11,3,1,2,1,2978,3,0,1,52275,28793,81068,4,0,1,0,2025,12,2026,7,2026,7
55,0,0,1035739,1,1,641001,0,38826,2157954,1,3,0,2019,2008729,7,1,1,4,1,777,3,3,1,88107,60318,148425,2,0,0,0,2025,8,2025,9,2025,9
47,0,7,1579589,4,4,625001,2,6031,305109,1,0,3,2013,1075691,3,3,2,2,1,2272,2,0,2,155192,83693,238885,5,0,0,0,2025,6,2025,10,2025,10
27,0,3,886694,9,9,632001,3,22589,872921,2,0,3,2021,2429582,8,1,3,2,1,3358,3,1,3,211568,41806,253374,3,1,0,0,2025,11,2026,4,2026,4
39,1,5,1513242,2,2,624001,1,24659,847227,1,4,5,2017,1813198,2,2,3,0,1,3617,1,3,4,205854,61975,267829,4,0,1,0,2025,5,2025,6,2025,6
51,0,5,1253211,9,9,632001,0,22809,2996539,1,0,14,2025,2145758,11,3,2,2,0,4079,3,1,2,207154,51729,258883,1,1,1,1,2025,9,2026,5,2026,5
65,1,2,2068454,4,4,625001,0,32157,875438,0,1,9,2014,679031,6,2,0,2,1,3307,3,1,2,43238,55721,98959,0,0,0,0,2025,11,2026,9,2026,9
63,0,1,2471646,2,2,624001,0,20653,618101,0,2,1,2020,1598636,7,2,2,2,1,2839,0,1,3,210291,99386,309677,5,0,1,1,2025,12,2026,2,2026,2
26,1,5,1262918,4,4,625001,2,15721,1662467,2,2,10,2013,1551920,9,0,1,2,1,1581,2,3,3,209431,99962,309393,1,0,1,0,2025,12,2026,7,2026,8
